,Show,EpId,ClipId,Path,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
0,HeStutters,0,0,clips/HeStutters/0/HeStutters_0_0.wav,31900320,31948320,0,0,0,0,0,0,0,0,3,1,0,0
1,HeStutters,0,1,clips/HeStutters/0/HeStutters_0_1.wav,31977120,32025120,0,0,0,0,0,0,0,0,3,1,0,0
2,HeStutters,0,2,clips/HeStutters/0/HeStutters_0_2.wav,34809760,34857760,0,0,0,0,0,0,0,0,3,0,0,0
3,HeStutters,0,3,clips/HeStutters/0/HeStutters_0_3.wav,35200640,35248640,0,0,1,0,0,0,0,0,2,0,0,0
4,HeStutters,0,4,clips/HeStutters/0/HeStutters_0_4.wav,35721920,35769920,0,0,0,0,0,0,0,0,3,0,0,0
5,HeStutters,0,5,clips/HeStutters/0/HeStutters_0_5.wav,36435040,36483040,0,0,1,0,0,0,0,0,2,0,0,0
6,HeStutters,0,6,clips/HeStutters/0/HeStutters_0_6.wav,37251200,37299200,0,0,0,0,0,0,0,0,3,0,0,0
7,HeStutters,0,7,clips/HeStutters/0/HeStutters_0_7.wav,37784640,37832640,0,0,0,0,0,0,0,0,3,2,0,0
8,HeStutters,0,8,clips/HeStutters/0/HeStutters_0_8.wav,37963520,38011520,0,0,0,0,0,0,0,0,3,2,0,0
9,HeStutters,0,9,clips/HeStutters/0/HeStutters_0_9.wav,41417440,41465440,0,0,0,0,0,0,0,0,3,0,0,0
10,HeStutters,0,10,clips/HeStutters/0/HeStutters_0_10.wav,41861760,41909760,0,0,0,0,0,0,0,1,3,0,0,0
11,HeStutters,0,11,clips/HeStutters/0/HeStutters_0_11.wav,42928800,42976800,0,0,0,0,0,0,0,0,3,0,0,0
12,HeStutters,0,12,clips/HeStutters/0/HeStutters_0_12.wav,43139360,43187360,0,0,0,0,0,0,0,0,3,0,0,0
13,HeStutters,0,13,clips/HeStutters/0/HeStutters_0_13.wav,46154240,46202240,0,0,0,0,0,1,0,1,2,0,0,0
14,HeStutters,0,14,clips/HeStutters/0/HeStutters_0_14.wav,49133440,49181440,0,0,0,1,0,0,0,0,2,0,0,0
15,HeStutters,0,15,clips/HeStutters/0/HeStutters_0_15.wav,49411840,49459840,0,0,0,0,0,0,0,0,3,0,0,0
16,HeStutters,0,16,clips/HeStutters/0/HeStutters_0_16.wav,51492320,51540320,0,0,0,0,0,0,0,0,3,0,0,0
17,HeStutters,0,17,clips/HeStutters/0/HeStutters_0_17.wav,6970880,7018880,0,0,0,0,0,0,0,0,3,1,0,0
18,HeStutters,0,18,clips/HeStutters/0/HeStutters_0_18.wav,8215200,8263200,0,0,0,1,0,0,0,0,2,1,0,0
19,HeStutters,0,19,clips/HeStutters/0/HeStutters_0_19.wav,9985280,10033280,0,0,1,0,0,0,0,0,2,0,0,0
20,HeStutters,0,20,clips/HeStutters/0/HeStutters_0_20.wav,11197600,11245600,0,0,0,0,0,0,0,0,3,0,0,0
21,HeStutters,0,21,clips/HeStutters/0/HeStutters_0_21.wav,12275840,12323840,0,0,0,0,0,0,1,0,3,0,0,0
22,HeStutters,0,22,clips/HeStutters/0/HeStutters_0_22.wav,12315840,12363840,0,0,0,0,0,0,0,0,3,0,0,0
23,HeStutters,0,23,clips/HeStutters/0/HeStutters_0_23.wav,12567200,12615200,0,0,0,0,0,0,1,0,3,0,0,0
24,HeStutters,0,24,clips/HeStutters/0/HeStutters_0_24.wav,15001760,15049760,0,0,0,0,0,0,0,0,3,0,0,0
25,HeStutters,0,25,clips/HeStutters/0/HeStutters_0_25.wav,16317280,16365280,0,0,1,0,0,0,0,0,2,0,0,0
26,HeStutters,0,26,clips/HeStutters/0/HeStutters_0_26.wav,3562240,3610240,0,0,0,0,0,0,0,0,3,0,0,0
27,HeStutters,0,27,clips/HeStutters/0/HeStutters_0_27.wav,18732320,18780320,0,0,0,1,3,1,0,1,0,0,0,0
28,HeStutters,0,28,clips/HeStutters/0/HeStutters_0_28.wav,18902240,18950240,0,0,1,0,0,0,0,0,2,0,0,0
29,HeStutters,0,29,clips/HeStutters/0/HeStutters_0_29.wav,19004000,19052000,0,0,0,0,0,0,0,0,3,0,0,0
30,HeStutters,0,30,clips/HeStutters/0/HeStutters_0_30.wav,19927520,19975520,0,1,0,0,0,0,2,0,3,0,0,0
31,HeStutters,0,31,clips/HeStutters/0/HeStutters_0_31.wav,21092480,21140480,0,0,1,0,0,0,0,0,2,0,0,0
32,HeStutters,0,32,clips/HeStutters/0/HeStutters_0_32.wav,21147520,21195520,0,0,0,0,0,0,0,0,3,0,0,0
33,HeStutters,0,33,clips/HeStutters/0/HeStutters_0_33.wav,25293440,25341440,0,0,2,1,0,0,0,0,1,0,0,0
34,HeStutters,0,34,clips/HeStutters/0/HeStutters_0_34.wav,25822720,25870720,0,0,0,0,0,0,0,0,3,0,0,0
35,HeStutters,0,35,clips/HeStutters/0/HeStutters_0_35.wav,26746400,26794400,0,0,0,0,0,0,0,0,3,0,0,0
36,HeStutters,0,36,clips/HeStutters/0/HeStutters_0_36.wav,27774880,27822880,0,0,0,0,0,0,0,0,3,0,0,0
37,HeStutters,0,37,clips/HeStutters/0/HeStutters_0_37.wav,27813440,27861440,0,0,1,0,0,0,0,1,2,0,0,0
38,HeStutters,0,38,clips/HeStutters/0/HeStutters_0_38.wav,29565600,29613600,0,0,1,0,0,0,0,0,2,0,0,0
39,HeStutters,0,39,clips/HeStutters/0/HeStutters_0_39.wav,30011200,30059200,0,0,0,1,0,0,0,0,2,0,0,0
40,HeStutters,1,0,clips/HeStutters/1/HeStutters_1_0.wav,2152480,2200480,0,0,0,1,2,0,1,0,0,0,0,0
41,HeStutters,1,1,clips/HeStutters/1/HeStutters_1_1.wav,27906400,27954400,0,0,0,0,0,1,0,1,2,0,0,0
42,HeStutters,1,2,clips/HeStutters/1/HeStutters_1_2.wav,28160960,28208960,0,0,1,0,0,0,0,0,2,1,0,0
43,HeStutters,1,3,clips/HeStutters/1/HeStutters_1_3.wav,28193760,28241760,0,0,0,1,0,0,0,3,2,1,0,0
44,HeStutters,1,4,clips/HeStutters/1/HeStutters_1_4.wav,28351360,28399360,0,0,0,0,0,0,0,0,3,0,0,0
45,HeStutters,1,5,clips/HeStutters/1/HeStutters_1_5.wav,28390400,28438400,0,0,0,0,0,3,0,1,0,0,0,0
46,HeStutters,1,6,clips/HeStutters/1/HeStutters_1_6.wav,28443200,28491200,0,0,0,0,0,1,0,0,2,1,0,0
47,HeStutters,1,7,clips/HeStutters/1/HeStutters_1_7.wav,28506080,28554080,0,0,0,0,0,3,1,0,0,1,0,0
48,HeStutters,1,8,clips/HeStutters/1/HeStutters_1_8.wav,28539840,28587840,0,0,0,0,0,2,0,0,1,0,0,0
49,HeStutters,1,9,clips/HeStutters/1/HeStutters_1_9.wav,29043360,29091360,0,0,0,1,0,0,0,0,2,0,0,0
50,HeStutters,1,10,clips/HeStutters/1/HeStutters_1_10.wav,29077440,29125440,0,0,0,2,0,1,1,0,0,0,0,0
51,HeStutters,1,11,clips/HeStutters/1/HeStutters_1_11.wav,29396960,29444960,0,1,2,0,1,0,1,0,0,0,0,0
52,HeStutters,1,12,clips/HeStutters/1/HeStutters_1_12.wav,29445280,29493280,0,0,0,0,2,0,1,0,1,0,0,0
53,HeStutters,1,13,clips/HeStutters/1/HeStutters_1_13.wav,29497920,29545920,0,0,0,1,0,1,0,0,1,1,0,0
54,HeStutters,1,14,clips/HeStutters/1/HeStutters_1_14.wav,29571040,29619040,0,0,3,0,0,0,0,3,0,0,0,0
55,HeStutters,1,15,clips/HeStutters/1/HeStutters_1_15.wav,30017440,30065440,0,0,3,0,1,0,0,1,0,0,0,0
56,HeStutters,1,16,clips/HeStutters/1/HeStutters_1_16.wav,30052800,30100800,0,0,0,1,0,0,0,0,2,0,0,0
57,HeStutters,1,17,clips/HeStutters/1/HeStutters_1_17.wav,5026880,5074880,0,0,0,2,1,0,1,0,0,1,0,0
58,HeStutters,1,18,clips/HeStutters/1/HeStutters_1_18.wav,5063040,5111040,0,1,1,1,1,0,3,0,1,0,0,0
59,HeStutters,1,19,clips/HeStutters/1/HeStutters_1_19.wav,30230560,30278560,0,1,0,0,0,0,0,0,3,0,0,0
60,HeStutters,1,20,clips/HeStutters/1/HeStutters_1_20.wav,30284320,30332320,0,0,0,0,1,3,0,1,0,0,0,0
61,HeStutters,1,21,clips/HeStutters/1/HeStutters_1_21.wav,30707360,30755360,1,0,0,0,1,0,2,0,1,0,0,1
62,HeStutters,1,22,clips/HeStutters/1/HeStutters_1_22.wav,30745440,30793440,0,0,1,1,0,0,0,0,2,1,0,0
63,HeStutters,1,23,clips/HeStutters/1/HeStutters_1_23.wav,30771360,30819360,0,0,1,0,0,0,0,0,2,0,0,0
64,HeStutters,1,24,clips/HeStutters/1/HeStutters_1_24.wav,30819840,30867840,0,0,0,1,0,1,0,3,1,1,0,0
65,HeStutters,1,25,clips/HeStutters/1/HeStutters_1_25.wav,30925120,30973120,0,0,1,0,0,0,0,0,1,0,0,0
66,HeStutters,1,26,clips/HeStutters/1/HeStutters_1_26.wav,30961440,31009440,0,0,0,1,0,0,0,2,2,0,0,0
67,HeStutters,1,27,clips/HeStutters/1/HeStutters_1_27.wav,31099040,31147040,0,0,3,1,0,0,1,0,0,1,0,0
68,HeStutters,1,28,clips/HeStutters/1/HeStutters_1_28.wav,31132480,31180480,0,1,1,0,0,1,1,2,2,0,0,0
69,HeStutters,1,29,clips/HeStutters/1/HeStutters_1_29.wav,31224160,31272160,0,0,2,0,0,0,1,0,1,0,0,0
70,HeStutters,1,30,clips/HeStutters/1/HeStutters_1_30.wav,31286560,31334560,0,0,0,1,0,0,1,0,2,0,0,0
71,HeStutters,1,31,clips/HeStutters/1/HeStutters_1_31.wav,31628960,31676960,0,0,1,1,0,0,1,0,1,0,0,0
