,Unnamed: 0.1,Unnamed: 0,Show,EpId,Path,ClipId,PonavljanjeGlasova,PonavljanjeSlogova,PonavljanjeJednosloznihRijeci,ProduzavanjeGlasova,Blokada,PrekinutaRijec,Cluster,Schwa,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
0,0,0,HeStutters,0,clips/HeStutters/0/HeStutters_0_0.wav,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31900320,31948320,0,0,0,0,0,0,0,0,3,1,0,0
1,1,1,HeStutters,0,clips/HeStutters/0/HeStutters_0_1.wav,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31977120,32025120,0,0,0,0,0,0,0,0,3,1,0,0
2,2,2,HeStutters,0,clips/HeStutters/0/HeStutters_0_2.wav,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34809760,34857760,0,0,0,0,0,0,0,0,3,0,0,0
3,3,3,HeStutters,0,clips/HeStutters/0/HeStutters_0_3.wav,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35200640,35248640,0,0,1,0,0,0,0,0,2,0,0,0
4,4,4,HeStutters,0,clips/HeStutters/0/HeStutters_0_4.wav,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35721920,35769920,0,0,0,0,0,0,0,0,3,0,0,0
5,5,5,HeStutters,0,clips/HeStutters/0/HeStutters_0_5.wav,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36435040,36483040,0,0,1,0,0,0,0,0,2,0,0,0
6,6,6,HeStutters,0,clips/HeStutters/0/HeStutters_0_6.wav,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37251200,37299200,0,0,0,0,0,0,0,0,3,0,0,0
7,7,7,HeStutters,0,clips/HeStutters/0/HeStutters_0_7.wav,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37784640,37832640,0,0,0,0,0,0,0,0,3,2,0,0
8,8,8,HeStutters,0,clips/HeStutters/0/HeStutters_0_8.wav,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37963520,38011520,0,0,0,0,0,0,0,0,3,2,0,0
9,9,9,HeStutters,0,clips/HeStutters/0/HeStutters_0_9.wav,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41417440,41465440,0,0,0,0,0,0,0,0,3,0,0,0
10,10,10,HeStutters,0,clips/HeStutters/0/HeStutters_0_10.wav,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41861760,41909760,0,0,0,0,0,0,0,1,3,0,0,0
11,11,11,HeStutters,0,clips/HeStutters/0/HeStutters_0_11.wav,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42928800,42976800,0,0,0,0,0,0,0,0,3,0,0,0
12,12,12,HeStutters,0,clips/HeStutters/0/HeStutters_0_12.wav,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43139360,43187360,0,0,0,0,0,0,0,0,3,0,0,0
13,13,13,HeStutters,0,clips/HeStutters/0/HeStutters_0_13.wav,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46154240,46202240,0,0,0,0,0,1,0,1,2,0,0,0
14,14,14,HeStutters,0,clips/HeStutters/0/HeStutters_0_14.wav,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49133440,49181440,0,0,0,1,0,0,0,0,2,0,0,0
